address,id,latitude,line_url,longitude,name,opening_hours,phone_number,type,type_name
ถนนยันตรกิจโกศล ตำบลสูงเม่น อำเภอสูงเม่น จังหวัดแพร่ 54130,3462-th,18.047108,https://lin.ee/9ouINvI,100.112289,โลตัส โก เฟรช Go Fresh สูงเม่น 2,24 ชม.,,stores-lotuss-express,โก เฟรช
บ้านแซม,3461-th,0,https://lin.ee/BXJLbAN,0,โลตัส โก เฟรช Go Fresh บ้านแซม,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 772/1 ถนนสุนทรวิจิตร ตำบลในเมือง อำเภอเมืองนครพนม จังหวัดนครพนม 48000,3447-th,17.394469,https://lin.ee/m9CBAfp,104.791888,โลตัส โก เฟรช Go Fresh ริมโขง,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 309 หมู่ที่ 3 ตำบลหมากหญ้า อำเภอหนองวัวซอ จังหวัดอุดรธานี 41360,3446-th,17.267477,https://lin.ee/sf8nGBf,102.599698,โลตัส โก เฟรช Go Fresh หนองวัวซอ,24 ชม.,,stores-lotuss-express,โก เฟรช
ท่าเสด็จ,3445-th,14.497187,https://lin.ee/43epmSY,100.021695,โลตัส โก เฟรช Go Fresh ท่าเสด็จ,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 174/35 หมู่ที่ 2 ต.บ้านฉาง อ.บ้านฉาง จ.ระยอง 21130,3460-th,12.718769,https://lin.ee/dSohokW,101.085476,โลตัส โก เฟรช GF ตลาดนัดบุญยอด,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 274 หมู่ที่ 13 ตำบลร่องคำ อำเภอร่องค่ำ จังหวัดกาฬสินธุ์ 46120,3459-th,16.269356,https://lin.ee/DrgiR3X,103.747576,โลตัส โก เฟรช Go Fresh ร่องคำ,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 522/3 ถนนประสานไมตรี ตำบลสบตุ๋ย อำเภอเมืองลำปาง จังหวัดลำปาง 52100,3458-th,18.279583,https://lin.ee/OIfTxnT,99.475553,โลตัส โก เฟรช GF ถ.ประสานไมตรี,24 ชม.,,stores-lotuss-express,โก เฟรช
183/33 ม.8 ต.ป่าคลอก อ.ถลาง จ.ภูเก็ต 83110,3457-th,7.98983,https://lin.ee/iWvVuiw,98.372978,โลตัส โก เฟรช Go Fresh ป่าคลอก,24 ชม.,,stores-lotuss-express,โก เฟรช
14/101 ม.5 ต. ฉลอง อ.เมืองภูเก็ต จ.ภูเก็ต 83130,3456-th,7.857185,https://lin.ee/8r5FJ0R,98.3386013,โลตัส โก เฟรช Go Fresh ตลาดนากก,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 62/1 หมู่ที่ 2 ต.คลองตำหรุ อ.เมืองชลบุรี จ.ชลบุรี 20000,3455-th,13.443081,https://lin.ee/WThlYaF,100.996543,โลตัส โก เฟรช Go Fresh คลองตำหรุ,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 179/1 ถ.แสงชูโต ต.ท่าเรือ อ.ท่ามะกา จ.กาญจนบุรี 71130,3454-th,13.95185,https://lin.ee/Gty7mZc,99.75138159,โลตัส โก เฟรช GF เทศบาลท่าเรือ,24 ชม.,,stores-lotuss-express,โก เฟรช
22/5 หมู่ที่ 3 ตำบลคูคต อำเภอลำลูกกา จังหวัดปทุมธานี,3453-th,13.942499,https://lin.ee/OGAStKm,100.662328,โลตัส โก เฟรช GF ซ.จันทร์ประสงค์,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 29/4 หมู่ที่ 3 ต.ทับมา อ.เมืองระยอง จ.ระยอง 21000,3452-th,12.695153,https://lin.ee/dWT9RXx,101.254881,โลตัส โก เฟรช Go Fresh หนองมะหาด,24 ชม.,,stores-lotuss-express,โก เฟรช
98 ม.1 ต.ห้วยพลู อ.นครชัศรี จ.นครปฐม 73120,3451-th,13.8703148,https://lin.ee/myka9EU,100.206823,โลตัส โก เฟรช Go Fresh แยกห้วยพลู,24 ชม.,,stores-lotuss-express,โก เฟรช
149/4 หมู่5 ต.หนองกบ อ.บ้านโป่ง จ.ราชบุรี 70110,3441-th,13.802167,https://lin.ee/cek0qtC,99.91858,โลตัส โก เฟรช Go Fresh บึงกระจับ,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 218/8 ตำบลโนนสมบูรณ์ อำเภอเมืองบึงกาฬ จังหวัดบึงกาฬ 38000,3436-th,18.302618,https://lin.ee/KUlX58G,103.650639,โลตัส โก เฟรช Go Fresh โนนสมบูรณ์,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 35/30 หมู่ที่ 8 ถ.บางกรวย-จงถนอม ต.วัดชลด อ.บางกรวย จ.นนทบุรี 11130,3450-th,13.806229,https://lin.ee/HObRWDz,100.471668,โลตัส โก เฟรช GF ว่าการ อ.บางกรวย,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 62/127 หมู่ที่ 6 ต.สัตหีบ อ.สัตหีบ จ.ชลบุรี 20180,3449-th,12.686753,https://lin.ee/YXrr5f3,100.905778,โลตัส โก เฟรช GF ชุมชนบ่อนไก่ 73,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 100/2 ถ.อนามัยงามเจริญ แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150,3448-th,13.642758,https://lin.ee/6gE5OMk,100.449268,โลตัส โก เฟรช GF สินทวีการ์เด้น,24 ชม.,,stores-lotuss-express,โก เฟรช
143/425 หมู่ที่ 8 ตำบลเขารูปช้าง อำเภอเมืองสงขลา จังหวัดสงขลา 90000,3444-th,7.175065,https://lin.ee/43FFEsp,100.596627,โลตัส โก เฟรช Go Fresh ท่าสะอ้าน,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 153 ถ.สุขุวิท 101/1 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,3443-th,13.684535,https://lin.ee/RVYkIdK,100.617171,โลตัส โก เฟรช GF วชิรธรรมสาธิต ซ.7,24 ชม.,,stores-lotuss-express,โก เฟรช
596 หมู่ 2 ต.หนองรี อ.บ่อพลอย จ.กาญจนบุรี 71160,3442-th,14.520032,https://lin.ee/CaRiHgn,99.464721,โลตัส โก เฟรช GF เทศบาลหนองรี,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 292 หมู่ที่ 7 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,3440-th,12.917254,https://lin.ee/KHUpDdW,100.94297,โลตัส โก เฟรช Go Fresh หนองไม้แก่น,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 59/440 หมู่ที่ 3 ต.เสม็ด อ.เมืองชลบุรี จ.ชลบุรี 20130,3427-th,13.330797,https://lin.ee/X8iWSDW,100.950047,โลตัส โก เฟรช Go Freshนารถมนตเสวี4,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 32/3 หมู่ 11 ตำบลหนองไข่น้ำ อำเภอหนองแค จังหวัดสระบุรี 18140,3439-th,14.348857,https://lin.ee/RvahG3U,1008557670,โลตัส โก เฟรช GF ตลาดทรัพย์พูลมา,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 187 หมู่ 1 ตำบลหนองบัว อำเภอไชยปราการ จังหวัดเชียงใหม่ 50320,3438-th,19.721825,https://lin.ee/KSchNIhn,99.141119,โลตัส โก เฟรช Go Fresh หนองบัว,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 190 หมู่ที่ 16 ตำบลโซ่พิสัย อำเภอโซ่พิสัย จังหวัดบึงกาฬ 38170,3437-th,18.075175,https://lin.ee/IKRh72A,103.450664,โลตัส โก เฟรช Go Fresh โซ่พิสัย,24 ชม.,,stores-lotuss-express,โก เฟรช
777/99 หมู่ 4 ต.ลาดหญ้า อ.เมือง จ.กาญจนบุรี 71000,3432-th,14.096459,https://lin.ee/TYHl55G,99.4102,โลตัส โก เฟรช Go Fresh ลาดหญ้า,24 ชม.,,stores-lotuss-express,โก เฟรช
256/24 หมู่ 1 ต.ท่าขนุน อ.ทองผาภูมิ จ.กาญจนบุรี 71180,3435-th,14.74886847,https://lin.ee/FFgupYh,98.62864,โลตัส โก เฟรช GF เทศบาลทองผาภูมิ,24 ชม.,,stores-lotuss-express,โก เฟรช
1887/9 ถนนยมราช ต.ม่าวัง อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,3434-th,0,https://lin.ee/ELbQ1HF,0,โลตัส โก เฟรช Go Fresh ถนนยมราช,24 ชม.,,stores-lotuss-express,โก เฟรช
33/10 ม.3 ต.บ้านหลวง อ.ดอนตูม จ.นครปฐม 73150,3433-th,13.9139582,https://lin.ee/h3LV9Id,100.1514342,โลตัส โก เฟรช GF เทศบาลบ้านหลวง,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 1/3 ถนนคันกั้นน้ำเค็ม ต.ชะอำ อ.ชะอำ จ.เพชรบุรี 76120,3431-th,0,https://lin.ee/uMoy803,0,โลตัส โก เฟรช Go Fresh หนองตาพต,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 103/10 ถ.สะแกงาม แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150,3429-th,13.64009256,https://lin.ee/odPyNKA,100.4165855,โลตัส โก เฟรช Go Fresh สะแกงาม 9,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 97/13 ถ.ราษฎร์อุทิศ ต.เชิงเนิน อ.เมืองระยอง จ.ระยอง 21000,3425-th,12.688062,https://lin.ee/pCpEjGy,101.27775,โลตัส โก เฟรช Go Freshถนนราชอุทิศ,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 440 หมู่ 15 ตำบลนาคำ อำเภอศรีเมืองใหม่ จังหวัดอุบลราชธานี 34250,3406-th,15.491848,https://lin.ee/NJPxTDF,105.271217,โลตัส โก เฟรช Go Freshศรีเมืองใหม่,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 888/33 ม.6 ต.พลูตาหลวง อ.สัตหีบ จ.ชลบุรี 20180,3413-th,12.670781,https://lin.ee/GsRLirw,100.954508,โลตัส โก เฟรช Go Freshสัตหีบ7,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 84 ซ.เฉลิมพระเกียรติ ร.9 ซ.28 แยก 3 แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250,3430-th,13.6784583,https://lin.ee/AlhE90N,100.6817461,โลตัส โก เฟรช GFเฉลิมพระเกียรติ 28,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 2009 ตำบลภูกระดึง อำเภอภูกระดึง จังหวัดเลย 42180,3412-th,16.886781,https://lin.ee/e4Oa7Db,101.890334,โลตัส โก เฟรช Go Freshภูกระดึง,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 668 หมู่ 8 ตำบลบ้านผือ อำเภอบ้านผือ จังหวัดอุดรธานี 41160,3428-th,17.6889099,https://lin.ee/xIdF1uV,102.4773347,โลตัส โก เฟรช Go Freshบ้านผือ,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 456 หมู่ที่ 7 ตำบลหนองจ๊อม อำเภอสันทราย จังหวัดเชียงใหม่ 50290,3426-th,18.885357,https://lin.ee/Xunq8kE,99.019973,โลตัส โก เฟรช Go Freshซอยสหกรณ์,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 477 หมู่ 10 ตำบลเซกา อำเภอเซกา จังหวัดบึงกาฬ 38150,3420-th,17.9211151,https://lin.ee/jtetXd8,103.953738,โลตัส โก เฟรช Go Freshเซกา,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 82 หมู่ที่ 5 ต.นาจอมเทียน อ.สัตหีบ จ.ชลบุรี 20250,3394-th,12.79159,https://lin.ee/CMysa1F,100.92749,โลตัส โก เฟรช Go Freshหนองจับเต่า,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 217/8ก ถนนชัยประสิทธิ์ ตำบลในเมือง อำเภอเมืองชัยภูมิ จังหวัดชัยภูมิ 36000,3417-th,15.812532,https://lin.ee/CVV4c0i,102.031125,โลตัส โก เฟรช GF ถ.ชัยประสิทธิ์,24 ชม.,,stores-lotuss-express,โก เฟรช
15/15 ม.4 ต.คอกกระบือ อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,6647-th,13.614067,https://lin.ee/XH66AGJ,100.345626,โลตัส ซูเปอร์มาร์เก็ต โพธิ์แจ้,08:00-21:00 (13Hrs),,stores-lotuss-market,ซูเปอร์มาร์เก็ต
"เลขที่ 69, 69/1 ซ.วิภาวดี รังสิต 64 แยก 2 แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพมหานคร 10210",6645-th,13.87414081,https://lin.ee/F0EbVlU,100.5787153,โลตัส ซูเปอร์มาร์เก็ต วิภาวดี 64,,,stores-lotuss-market,ซูเปอร์มาร์เก็ต
เลขที่ 259 หมู่2 ตำบลเวียง อำเภอเทิง จ.เชียงราย 57160,6648-th,19.69098,https://lin.ee/PWq6TKG,100.17971,โลตัส ซูเปอร์มาร์เก็ต เทิง,,,stores-lotuss-market,ซูเปอร์มาร์เก็ต
เลขที่ 243 ซ.ประเสริฐมนูกิจ 29 ถ.ประเสริฐมนูกิจ แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230,6644-th,13.850574,https://lin.ee/yAnS0P2,100.627668,โลตัส ซูเปอร์มาร์เก็ต มัยลาภ,,,stores-lotuss-market,ซูเปอร์มาร์เก็ต
เลขที่ 51 ถ.บรมราชชนนี แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170,6646-th,13.783701,https://lin.ee/kq5cQUj,100.397742,โลตัส ซูเปอร์มาร์เก็ตบรมราชชนนี 2,,,stores-lotuss-market,ซูเปอร์มาร์เก็ต
23/5 หมู่ 2 ตำบลบางคูวัด อำเภอเมืองปทุมธานี จังหวัดปทุมธานี 12000,6643-th,13.95676088,https://lin.ee/DTuhjTn,100.4969433,โลตัส ซูเปอร์มาร์เก็ต บางคูวัต,07:00-21:00 (14Hrs),,stores-lotuss-market,ซูเปอร์มาร์เก็ต
เลขที่ 441 หมู่ 1 ตำบลละหานทราย อำเภอละหานทราย จังหวัดบุรีรัมย์ 31170,6642-th,0,https://lin.ee/eNKESeM,0,โลตัส ละหานทราย,06:00-21:00 (15Hrs),,stores-lotuss-market,ซูเปอร์มาร์เก็ต
560 ถนนเลียบคลองรังสิต ตำบลประชาธิปัตย์ อำเภอธัญบุรี จังหวัดปทุมธานี 12130,6641-th,13.98594513,https://lin.ee/PCiiv7P,100.63156,โลตัส รังสิต คลอง1,07:00-21:00 (14Hrs),,stores-lotuss-market,ซูเปอร์มาร์เก็ต
เลขที่ 39/17 ม.3 ต.บ้านปึก อ.เมืองชลบุรี จ.ชลบุรี 20130,3424-th,13.31761,https://lin.ee/mqg8ACE,100.930034,โลตัส โก เฟรช ใหม่เกตุงาม,24 ชม.,,stores-lotuss-express,โก เฟรช
99/3 ม.6 ต.บางจาก อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80330,3423-th,8.343184,https://lin.ee/Gek2rN7,100.068133,"โลตัส โก เฟรช ตลาดปากเนตร, นครศรีธรรมราช",24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 190 ถ.นิมิตใหม่ แขวงสามวาตะวันออก เขตคลองสามวา กรุงเทพมหานคร 10510,3422-th,13.884015,https://lin.ee/4Yu9uMC,100.732017,"โลตัส โก เฟรช นิมิตรใหม่ 40, กรุงเทพฯ",24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 110 หมู่ที่ 5 ต.หนองปรือ อ.พนัสนิคม จ.ชลบุรี 20140,3421-th,13.517378,https://lin.ee/HErG7qI,101.202686,โลตัส โก เฟรช หัวถนน,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 106 ซ.สรงประภา 30 แขวงสีกัน เขตดอนเมือง กรุงเทพมหานคร 10210,3419-th,13.932909,https://lin.ee/ocXMY0R,100.585325,โลตัส โก เฟรช สรงประภา 30,24 ชม.,,stores-lotuss-express,โก เฟรช
265 หมู่ 2 ถ.เพชรเกษม ต.คลองปาง อ.รัษฎา จ.ตรัง 92160,3418-th,8.0144721,https://lin.ee/qSwT2aE,99.6432622,โลตัส โก เฟรช คลองปาง,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 255 หมู่ 13 ตำบลวังทอง อำเภอวังทอง จังหวัดพิษณุโลก 65130,3410-th,16.8288018,https://lin.ee/EyFaXrn,100.431878,"โลตัส โก เฟรช วังทอง, พิษณุโลก",24 ชม.,,stores-lotuss-express,โก เฟรช
54/2 หมู่ 3 ต.สระกระโจม อ.ดอนเจดีย์ จ.สุพรรณบุรี 72250,3409-th,0,https://lin.ee/KLXpgwu,0,โลตัส โก เฟรช สระกระโจม สุพรรณบุรี,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 182 หมู่ 7 ตำบลหลุบ อำเภอเมืองกาฬสินธุ์ จังหวัดกาฬสินธุ์ 46000,3415-th,16.4075033,https://lin.ee/DDlyvhm,103.5051994,"โลตัส โก เฟรช บ้านหลุบ, กาฬสินธุ์",24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 48/13 หมู่ 1 ตำบลเขาดินพัฒนา อำเภอเฉลิมพระเกียรติ จังหวัดสระบุรี 18000,3414-th,14.614755,https://lin.ee/e4Oa7Db,100.893441,"โลตัส โก เฟรช ตลาดนัดเฉลิมพระเกียรติ , สระบุรี ",24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 1/30 ตำบลกาฬสินธุ์ อำเภอเมืองกาฬสินธุ์ จังหวัดกาฬสินธุ์ 46000,3411-th,16.4359541,https://lin.ee/ojMkdhT,103.5057048,"โลตัส โก เฟรช ถนน ถีนานนท์, กาฬสินธุ์",24 ชม.,,stores-lotuss-express,โก เฟรช
39/1 หมู่ที่ 5 ถนนอำเภอ ต.มะขามเตี้ย อเมือง จ.สุราษฎร์ธานี 84000,3408-th,0,https://lin.ee/YVZvQ4H,0,โลตัส โก เฟรช Go Freshถนนอำเภอ,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 56/97 หมู่ที่ 3 ต.คลองพระอุดม อ.ปากเกร็ด จ.นนทบุรี 11120,3407-th,13.929848,https://lin.ee/2j2eQrJ,100.482953,โลตัส โก เฟรช คลองพระอุดม,24 ชม.,,stores-lotuss-express,โก เฟรช
179/1 ถนนวันดีโฆษิตกุลพร ต.ในเมือง อ.เมืองนครศรีธรรมราช จ.นครศรีธรรมราช 80000,3405-th,8.427568,https://lin.ee/390WSdj,99.975853,โลตัส โก เฟรช หมู่บ้านเมืองทอง,24 ชม.,,stores-lotuss-express,โก เฟรช
608 ม.1 ต.หนองปรือ อ.หนองปรือ จ.กาญจนบุรี 71220,3404-th,0,https://lin.ee/DCPNBEd,0,โลตัส โก เฟรช Go Freshหนองปรือ,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 111 หมู่ที่ 9 ถนนชมฐีรเวช ตำบลดงขุย อำเภอชนแดน จังหวัดเพชรบูรณ์ 67190,3403-th,16.119392,https://lin.ee/O9IaPE5,100.730036,"โลตัส โก เฟรช ดงขุย, เพชรบูรณ์",24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 47 ถ.ร่วมใจ ต.กุดป่อง อ.เมือง จ.เลย 42000,3389-th,17.489832,https://lin.ee/NQbngck,101.72284,"โลตัส โก เฟรช ถนนร่วมใจ, เลย",24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 88/77 หมู่ที่ 1 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,3402-th,12.950791,https://lin.ee/mJ4GsXJ,100.939049,โลตัส โก เฟรช ฟาร์มม้าแคระ,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 148 หมู่ 5 ตำบลสันผักหวาน อำเภอหางดง จังหวัดเชียงใหม่ 50230,3401-th,0,https://lin.ee/tNRMp3r,0,"โลตัส โก เฟรช บ้านป่าตาล, เชียงใหม่",24 ชม.,,stores-lotuss-express,โก เฟรช
547 ม.11 ต.บางตาเถร อ.สองพี่น้อง จ.สุพรรณบุรี 72110,3400-th,14.157197,https://lin.ee/1g96gF6,100.163826,โลตัส โก เฟรช วัดไผ่โรงวัว,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 68/2 ถนนอภิบาลบัญชา ตำบลในเมือง อำเภอเมือง จังหวัดนครพนม 48000,3399-th,17.394469,https://lin.ee/ga2nrzT,104.791888,"โลตัส โก เฟรช โรงพยาบาลนครพนม, นครพนม",24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 520/2 ถนนพรหมประกาย (ฝั่งตะวันออก) อำเภอเมืองอุดรธานี จังหวัดอุดรธานี 41000,3387-th,17.401067,https://lin.ee/CV66Bqr,102.772683,"โลตัส โก เฟรช ถนนพหรมประกาย, อุดรธานี",24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 158/30 ซอย 1 ถนนพิชัยณรงค์สงคราม ตำบลปากเพรียว อำเภอเมืองสระบุรี จัหวัดสระบุรี 18000,3398-th,14.527835,https://lin.ee/YQ05cFB,100.922601,โลตัส โก เฟรช พิชัยณรงค์สงคราม ซอย 1,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 115 หมู่ 3 ตำบลห้วยเหนือ อำเภอขุขันธ์ จังหวัดศรีสะเกษ 33140,3397-th,14.709294,https://lin.ee/vHUg6Tv,104.19946,"โลตัส โก เฟรช ขุขันธ์, ศรีสะเกษ",24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 368 หมู่ที่ 9 ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,3396-th,13.641027,https://lin.ee/P6Ntxgm,100.632145,โลตัส โก เฟรช  ศรีด่าน 3,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 489/98 หมู่ 6 ตำบลหัวรอ อำเภอเมือง จังหวัดพิษณุโลก 65000,3395-th,16.8685894,https://lin.ee/Vhj6IIP,100.28105,"โลตัส โก เฟรช สระโคล่, พิษณุโลก",24 ชม.,,stores-lotuss-express,โก เฟรช
227/234 หมู่ที่ 4 ถนนโฉลกรัฐ ต.มะขามเตี้ย อเมือง จ.สุราษฎร์ธานี 84000,3392-th,0,https://lin.ee/9MqtCmu,0,โลตัส โก เฟรช Go Freshโฉลกรัฐ ซ.10,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 217 หมู่ 6 ตำบลภูผาม่าน อำเภอภูผาม่าน จังหวัดขอนแก่น 40350,3384-th,16.641648,https://lin.ee/lSFTToY,101.906894,"โลตัส โก เฟรช ภูผาม่าน, ขอนแก่น",24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 122/1 หมู่ 8 ตำบลหนองสาหร่าย อำเภอปากช่อง จังหวัดนครราชสีมา 30130,3391-th,14.643613,https://lin.ee/VfHXIjE,101.497245,"โลตัส โก เฟรช ป้าง 2, นครราชสีมา",24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 152 หมู่ 6 ตำบลศรีแก้ว อำเภอศรีรัตนะ จังหวัดศรีสะเกษ 33240,3388-th,14.789731,https://lin.ee/YpoWMNu,104.469975,"โลตัส โก เฟรช ศรีรัตนะ, ศรีสะเกษ ",24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 18/49 ถนนมหาดไทยบำรุง ตำบลหนองหลวง อำเภอเมืองตาก จังหวัดตาก 63000,3385-th,16.87605338,https://lin.ee/Pu3CNTg,99.12372219,"โลตัส โก เฟรช มหาดไทยบำรุง, ตาก",24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 763 หมู่ 1 ตำบลกรอกสมบูรณ์ อำเภอศรีมหาโพธิ จังหวัดปราจีนบุรี 25140,3383-th,13.771866,https://lin.ee/HfuA0bY,101.663719,"โลตัส โก เฟรช เทศบาลม กรอกสมบูรณ์, ปราจีนบุรี",24 ชม.,,stores-lotuss-express,โก เฟรช
648/2 ม.1 ต.บ่อพลอย อ.บ่อพลอย จ.กาญจนบุรี 71160,3386-th,0,https://lin.ee/9N4K5oU,0,โลตัส โก เฟรช บ่อพลอย กาญจนบุรี,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 46/19 หมู่ 8 ตำบลคลองตาล อำเภอศรีสำโรง จังหวัดสุโขทัย 64120,3378-th,17.172557,https://lin.ee/EXWVpM1,99.864096,"โลตัส โก เฟรช ศรีสำโรง, สุโขทัย",24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 66/20 หมู่ที่ 5 ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140,3380-th,13.870868,https://lin.ee/f10p3h2,100.391688,โลตัส โก เฟรช ซอยแก้วอินทร์,24 ชม.,,stores-lotuss-express,โก เฟรช
เลขที่ 294 หมู่ 6 ตำบลวังผาง อำเภอเวียงหนองล่อง จังหวัดลำพูน 51120,3379-th,18.41945,https://lin.ee/jN91x0H,98.748536,"โลตัส โก เฟรช เวียงหนองล่อง, ลำพูน",24 ชม.,,stores-lotuss-express,โก เฟรช
